URL;Title;Latitude;Longitude;Hote;User ID
https://www.airbnb.fr/rooms/980939342305651582;Chambre uniquement pour femmes - Appartements à louer à Villeurbanne, Auvergne-Rhône-Alpes, France - Airbnb;45.77325;4.86693;Rama;RGVtYW5kVXNlcjo1MzcyMjg3NjY=
https://www.airbnb.fr/rooms/52199777;Un appart sympa, lumineux et accessible à Oullins. - Appartements à louer à Oullins, Auvergne-Rhône-Alpes, France - Airbnb;45.71869;4.81791;Sahar;RGVtYW5kVXNlcjo0MjI1NTE2NDk=
https://www.airbnb.fr/rooms/13010045;Chambre simple, loft croix rousse - Lofts à louer à Lyon, Auvergne Rhône-Alpes, France - Airbnb;45.77616;4.83045;Yohann;RGVtYW5kVXNlcjozMDg0MDkwMA==
https://www.airbnb.fr/rooms/48839175;"Chambre cosy.avec pti déjeuner
centre st priest. - Appartements à louer à Saint-Priest, Auvergne-Rhône-Alpes, France - Airbnb";45.69311;4.93816;Corinne;RGVtYW5kVXNlcjoyMTgwNzE4Nzc=
https://www.airbnb.fr/rooms/1045443602816531949;Chambre privée dans un grand T4 - Appartements à louer à Vénissieux, Auvergne-Rhône-Alpes, France - Airbnb;45.7036279482594;4.876482886631609;Lasri;RGVtYW5kVXNlcjoyMzIwNDY3NDA=
https://www.airbnb.fr/rooms/1108708829977120840;Chambre chez l’habitant - Appartements à louer à Saint-Priest, Auvergne-Rhône-Alpes, France - Airbnb;45.69024314264226;4.9434306169036235;Sylvie;RGVtYW5kVXNlcjoyMzgwNjQ1NzU=
https://www.airbnb.fr/rooms/50687502;Tassin la demi-lune agréable Chambre 2 couchages - Appartements à louer à Tassin-la-Demi-Lune, Auvergne-Rhône-Alpes, France - Airbnb;45.76215;4.77032;Julien;RGVtYW5kVXNlcjo0MDk2MDk1NjQ=
https://www.airbnb.fr/rooms/945710928045439788;Chambre Coquelicot - Maisons à louer à Fleurieux-sur-l'Arbresle, Auvergne-Rhône-Alpes, France - Airbnb;45.8382;4.6554;Magali;RGVtYW5kVXNlcjo1Mjg0NzQ4ODU=
https://www.airbnb.fr/rooms/43932787;Nid douillet  ultra sécurisé - Appartements en résidence à louer à Lyon, Auvergne-Rhône-Alpes, France - Airbnb;45.72567;4.8783;Paul Henri;RGVtYW5kVXNlcjozNTE3MjAyNTQ=
https://www.airbnb.fr/rooms/31948711;chambre avec un grand bureau - Appartements en résidence à louer à Lyon, Auvergne-Rhône-Alpes, France - Airbnb;45.73205;4.88452;Asny;RGVtYW5kVXNlcjozNzA3ODU5NQ==
https://www.airbnb.fr/rooms/15886038;VILLEURBANNE LA DOUA Université - Appartements à louer à Villeurbanne, Auvergne-Rhône-Alpes, France - Airbnb;45.77723;4.88155;Aline;RGVtYW5kVXNlcjo3NjE5MTYxOA==
https://www.airbnb.fr/rooms/31256135;Chambre single privée calme,   centre ville - Appartements à louer à Saint-Genis-Laval, Auvergne-Rhône-Alpes, France - Airbnb;45.69606;4.79319;Bernard;RGVtYW5kVXNlcjoyMjYyMTAyNQ==
https://www.airbnb.fr/rooms/54087269;Chambre privée dans chouette appartement - Appartements en résidence à louer à Saint-Priest, Auvergne-Rhône-Alpes, France - Airbnb;45.70014;4.93121;Morgane;RGVtYW5kVXNlcjo0MzgzODczNDk=
